brand,name,price_usd,price_bdt,image_url,socket,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics,has_integrated_graphics
AMD,AMD Ryzen 7 PRO 7745,,,,AM5,8,3.8,5.3,Zen 4,65,Radeon,True
AMD,AMD Ryzen 9 3950X,,,,AM4,16,3.5,4.7,Zen 2,105,,False
Intel,Intel Core i9-10850K,,,,LGA1200,10,3.6,5.2,Comet Lake,125,Intel UHD Graphics 630,True
Intel,Intel Core i3-10300,,,,LGA1200,4,3.7,4.4,Comet Lake,65,Intel UHD Graphics 630,True
Intel,Intel Core i5-10600K,,,,LGA1200,6,4.1,4.8,Comet Lake,125,Intel UHD Graphics 630,True
Intel,Intel Core i7-10700K Avengers Collector's Edition,741.0,100035.0,,LGA1200,8,3.8,5.1,Comet Lake,125,Intel UHD Graphics 630,True
Intel,Intel Core i3-10320,120.0,16200.0,,LGA1200,4,3.8,4.6,Comet Lake,65,Intel UHD Graphics 630,True
Intel,Intel Core i9-10850KA Avengers Limited Edition,,,,LGA1200,10,3.6,5.2,Comet Lake,125,Intel UHD Graphics 630,True
AMD,AMD Ryzen 3 2200G,,,,AM4,4,3.5,3.7,Zen,65,Radeon Vega 8,True
AMD,AMD Ryzen 7 2700,,,,AM4,8,3.2,4.1,Zen+,65,,False
AMD,AMD Ryzen 3 1200 (12nm),,,,AM4,4,3.1,3.4,Zen+,65,,False
Intel,Intel Core i9-10900K,,,,LGA1200,10,3.7,5.3,Comet Lake,125,Intel UHD Graphics 630,True
AMD,AMD Ryzen 7 1800X,,,,AM4,8,3.6,4.0,Zen,95,,False
Intel,Intel Core i3-10325,,,,LGA1200,4,3.9,4.7,Comet Lake,65,Intel UHD Graphics 630,True
AMD,AMD Ryzen 7 1800X,,,,AM4,8,3.6,4.0,Zen,95,,False
Intel,Intel Core i3-10305,,,,LGA1200,4,3.8,4.5,Comet Lake,65,Intel UHD Graphics 630,True
